country,costPerMonth,rentPerMonth
Albania,393.21,240.66
Algeria,335.99,239.98
Argentina,745.37,610.77
Armenia,412.75,330.23
Australia,912.37,1384.11
Austria,774.44,883.87
Azerbaijan,336.46,374.50
Bahamas,1250.69,1291.50
Bahrain,560.57,1140.41
Bangladesh,412.86,179.14
Belarus,458.80,447.85
Belgium,877.37,1062.00
Belize,691.05,401.54
Bermuda,1554.70,4060.06
Bolivia,435.43,338.68
Bosnia And Herzegovina,402.28,197.05
Botswana,437.87,286.96
Brazil,452.17,415.74
Brunei,603.95,682.76
Bulgaria,422.87,285.61
Cambodia,549.98,417.77
Canada,753.86,906.85
Chile,510.32,443.46
China,559.40,785.51
Colombia,340.18,319.75
Costa Rica,671.75,545.87
Croatia,560.57,328.20
Cyprus,662.79,442.78
Czech Republic,486.13,488.41
Denmark,987.15,1042.05
Dominican Republic,597.55,407.97
Ecuador,515.44,409.66
Egypt,426.94,325.49
El Salvador,494.97,329.89
Estonia,569.17,456.30
Ethiopia,514.86,719.94
Fiji,509.63,523.56
Finland,875.16,911.92
France,875.74,886.24
Georgia,333.90,359.63
Germany,762.23,811.54
Ghana,737.81,1802.89
Greece,632.67,321.44
Guatemala,512.65,386.00
Honduras,556.50,325.16
Hong Kong,947.61,2790.87
Hungary,480.20,356.25
Iceland,1121.71,1198.21
India,280.75,215.31
Indonesia,422.52,333.27
Iran,478.23,553.64
Iraq,588.01,588.12
Ireland,907.49,1280.01
Israel,880.97,905.16
Italy,799.80,726.36
Jamaica,647.79,424.53
Japan,944.94,1005.55
Jordan,617.32,406.95
Kazakhstan,311.92,322.11
Kenya,463.34,427.91
Kuwait,949.24,1293.19
Latvia,548.24,428.25
Lebanon,733.62,1184.69
Libya,461.25,475.90
Lithuania,529.86,420.81
Luxembourg,953.78,1651.81
Macao,745.02,1469.29
Macedonia,361.11,200.10
Malaysia,435.78,373.83
Malta,713.62,683.77
Mauritius,556.96,511.06
Mexico,407.17,333.94
Moldova,298.89,240.66
Montenegro,459.27,310.96
Morocco,413.56,326.85
Myanmar,599.76,682.42
Namibia,462.18,563.45
Nepal,317.96,101.40
Netherlands,838.76,1073.49
New Zealand,909.12,1004.20
Nigeria,548.47,774.02
Norway,1160.67,1251.95
Oman,617.79,835.87
Pakistan,310.40,158.18
Palestinian Territory,614.99,310.62
Panama,611.39,1031.91
Peru,442.41,441.77
Philippines,403.91,227.14
Poland,448.10,457.65
Portugal,579.52,516.46
Puerto Rico,776.07,665.86
Qatar,813.98,2518.10
Romania,404.72,291.69
Russia,447.52,578.99
Saudi Arabia,553.59,465.76
Serbia,390.30,226.12
Singapore,973.08,2497.14
Slovakia,523.35,506.32
Slovenia,606.97,497.20
South Africa,404.14,445.48
South Korea,851.08,1163.06
Spain,652.56,637.47
Sri Lanka,396.70,290.68
Sweden,880.39,852.10
Switzerland,1431.65,1863.73
Syria,369.25,271.08
Taiwan,649.42,497.20
Tanzania,575.80,869.00
Thailand,465.43,513.08
Trinidad And Tobago,647.44,758.81
Tunisia,356.69,238.29
Turkey,524.16,353.21
Ukraine,332.15,320.09
United Arab Emirates,768.63,2306.85
United Kingdom,942.38,1226.60
United States,861.55,1297.58
Uruguay,646.98,534.38
Uzbekistan,519.51,424.19
Venezuela,698.03,389.04
Vietnam,459.39,471.17
Zambia,529.51,719.26
Zimbabwe,633.95,493.14
